ablum,ablummid,end,id,name,singer,songmid,start,url
Scary Hours,001rdCIF49wtT2,2018_11,212894043,God's Plan (Clean),Drake,001cyqMp38gowe,2018_6,https://y.qq.com/n/yqq/song/001cyqMp38gowe.html
Psycho,001f1AET3KU6dF,2018_11,213185529,Psycho (Clean),Post Malone,002GphC603hRhW,2018_11,https://y.qq.com/n/yqq/song/002GphC603hRhW.html
÷ (Deluxe),000chBQY44HBam,2018_11,200732342,Perfect,Ed Sheeran,0003JKfo3deNMR,2017_12,https://y.qq.com/n/yqq/song/0003JKfo3deNMR.html
Finesse (Remix),004IUQEn1MSCm4,2018_11,212710040,Finesse (Remix),Bruno Mars,004gbDmA1tuWhh,2018_3,https://y.qq.com/n/yqq/song/004gbDmA1tuWhh.html
Havana,001Xmn3t2WkB9x,2018_11,203510846,Havana,Camila Cabello,000PsiBS2CbEOR,2017_36,https://y.qq.com/n/yqq/song/000PsiBS2CbEOR.html
Look Alive,001kvZGx1zVOVN,2018_11,213053786,Look Alive (Clean),BlocBoy JB,001QGToo0jyhyA,2018_9,https://y.qq.com/n/yqq/song/001QGToo0jyhyA.html
All Your Fault: Pt. 2,001zTANR2pGAeK,2018_11,203605103,Meant to Be,Florida Georgia Line,000sXVrU15uJPO,2017_45,https://y.qq.com/n/yqq/song/000sXVrU15uJPO.html
rockstar,004BCSia0Hx4qC,2018_11,203837841,rockstar (Clean),Post Malone,002OqKoX3JBkNF,2017_40,https://y.qq.com/n/yqq/song/002OqKoX3JBkNF.html
Pray For Me,002EnX2w0hW2UK,2018_11,213018417,Pray For Me (Clean),The Weeknd,004ZewP31H7FQj,2018_8,https://y.qq.com/n/yqq/song/004ZewP31H7FQj.html
All The Stars,002NDmMo30F7pE,2018_11,212758092,All The Stars (Clean),Kendrick Lamar,003lT9Nu3owejX,2018_4,https://y.qq.com/n/yqq/song/003lT9Nu3owejX.html
The Middle,002jyltC3IW8AZ,2018_11,212911192,The Middle,Zedd,003wIKbN3BRA2y,2018_7,https://y.qq.com/n/yqq/song/003wIKbN3BRA2y.html
Stir Fry,002aY89a1fpTfS,2018_11,212608944,Stir Fry (Clean),Migos,001BkwcW4ARcdO,2018_2,https://y.qq.com/n/yqq/song/001BkwcW4ARcdO.html
Fresh Edge,0020OXsS3hz3kD,2018_11,205342270,Let You Down,NF,0006Lsk344gVYf,2017_44,https://y.qq.com/n/yqq/song/0006Lsk344gVYf.html
Dua Lipa (Deluxe),004ScbB01WWjuk,2018_11,202560419,New Rules,Dua Lipa,00403UOu1h2zBm,2017_33,https://y.qq.com/n/yqq/song/00403UOu1h2zBm.html
The Beautiful & Damned,001bF3GP15xbUz,2018_11,211984787,Him & I (Explicit),G-Eazy,002DHhUI085OL3,2017_51,https://y.qq.com/n/yqq/song/002DHhUI085OL3.html
GUMMO,003Erlzx2cYROw,2018_11,209363771,GUMMO (Explicit),6IX9INE,0039xqRe2v3ILp,2017_48,https://y.qq.com/n/yqq/song/0039xqRe2v3ILp.html
Thunder,004Lln4k3pHWBi,2018_11,202047115,Thunder,Imagine Dragons,002FAQbp0jUalG,2017_20,https://y.qq.com/n/yqq/song/002FAQbp0jUalG.html
Stoney (Deluxe),001tctIT1yaNXd,2018_11,109131189,I Fall Apart,Post Malone,004L5xeL3pfVB9,2017_41,https://y.qq.com/n/yqq/song/004L5xeL3pfVB9.html
DAMN.,000gHBp24WRz0d,2018_11,201816920,LOVE. (Explicit),Kendrick Lamar,000PBHZV38RWWT,2017_18,https://y.qq.com/n/yqq/song/000PBHZV38RWWT.html
Mine,002u5urR2mLJDK,2018_11,204402836,Mine,Bazzi,000dKoTc3HhXh5,2018_6,https://y.qq.com/n/yqq/song/000dKoTc3HhXh5.html
hopeless fountain kingdom (Deluxe),003ocxh51oboIV,2018_11,201631775,Bad At Love,Halsey,003tgriU13C1YI,2017_38,https://y.qq.com/n/yqq/song/003tgriU13C1YI.html
Finessed Flow,003IDKv10tkRk0,2018_11,213188095,44 More,Logic,004Qlhpj0OATiE,2018_11,https://y.qq.com/n/yqq/song/004Qlhpj0OATiE.html
Lights Down Low,002M4YAg16g2Sm,2018_11,203910794,Lights Down Low,MAX,004SLZsu0DWXp0,2017_43,https://y.qq.com/n/yqq/song/004SLZsu0DWXp0.html
Never Be the Same,001smVRW1TZYQE,2018_11,212082213,Never Be the Same,Camila Cabello,003KnLUq38ZSeO,2017_52,https://y.qq.com/n/yqq/song/003KnLUq38ZSeO.html
Wolves,001lC38H332e2W,2018_11,205348257,Wolves,Selena Gomez,003XFhZF1yG7jD,2017_45,https://y.qq.com/n/yqq/song/003XFhZF1yG7jD.html
Bartier Cardi,0006GBDK2rDT8p,2018_11,212605407,Bartier Cardi (Explicit),Cardi B,002BAYUn1KIz1d,2018_2,https://y.qq.com/n/yqq/song/002BAYUn1KIz1d.html
Voicenotes,001v3NMj3Pi45u,2018_11,204275873,How Long,Charlie Puth,000JVV592ZKwi4,2017_43,https://y.qq.com/n/yqq/song/000JVV592ZKwi4.html
King's Dead,004dQztH2FqRWL,2018_11,212820093,King's Dead (Clean),Jay Rock,002wuPTv1aPqoK,2018_5,https://y.qq.com/n/yqq/song/002wuPTv1aPqoK.html
Say Something,000nrzca1L11DH,2018_11,212928582,Say Something,Justin Timberlake,000iXVGX1JQlvH,2018_7,https://y.qq.com/n/yqq/song/000iXVGX1JQlvH.html
MotorSport,0037HOVt0T4JAS,2018_11,206292283,MotorSport,Migos,0002bV0l4S5Smq,2017_46,https://y.qq.com/n/yqq/song/0002bV0l4S5Smq.html
No Limit,001mxCoN42dzf1,2018_11,203765003,No Limit (Explicit),G-Eazy,00419ASW4GHyMV,2017_39,https://y.qq.com/n/yqq/song/00419ASW4GHyMV.html
